timecode,type,actor,field1,field2,field3
0:06,system_message,,"Welcome, crawlers. Floor One is open to the galactic feed.",,
00:14,chapter,,Cold Open — The Doorway,story,
28,loot,harry,Enchanted Crowbar,Bronze Adventurer Box,
00:41,hp,harry,12,22,
0:48,map_reveal,,"3,2;3,3;4,2",The Meat District,
1:00,achievement,harry,Gate Crasher,Killed 10 mobs with a door.,
1:12,loot,ghost,Whispering Coin,Unclaimed Bronze Box,
00:01:20,level_up,harry,2,,
1:30,sponsor,,Grull Industries. We make the hole.,20,
2:00,hp,stuntman,999,22,
2:20,mystery_type,harry,glimmer,3,
2:40,status,psychic,Poisoned,,
01:30:00,note,,A stray line from the edit bay. Nobody was watching this far in.,,
3:30,rank,xo,crawler,4188,
3:50,inventory,xo,Signal Flare,,
3:44,npc,,the-listener-below,met,Nobody has filed this one.
3:46,npc,,the-hoarder,"update:ledger,lantern",The tally is not the only thing it keeps.
3:54,unequip,harry,accessory,,
3:58,note,,Recap ends. Vitals logged. Sponsors paid.,,
