timecode,type,actor,field1,field2,field3
0:06,system_message,,"Welcome, crawlers. Floor One is open to the galactic feed. Do try to be watchable.",,
00:14,chapter,,Cold Open — The Doorway,story,
0:00:22,note,,Danny maintains the door was not load-bearing. The ceiling disagreed.,,
28,loot,harry,Enchanted Crowbar,Bronze Adventurer Box,
0:35,inventory,stuntman,Duct Tape,,
00:41,hp,harry,12,22,
0:48,map_reveal,,"3,2;3,3;4,2",The Meat District,
0:54,status,psychic,Poisoned,,
1:00,achievement,harry,Gate Crasher,"Killed 10 mobs with a door, and once with the frame.",
01:01,achievement,stuntman,Unpaid Stunt Double,Broke the fall. And the arm.,
1:02,achievement,xo,First Blood,Opened the account early.,
00:01:10,level_up,harry,2,,
1:16,sponsor,,This doorway brought to you by Grull Industries. We make the hole.,20,
84,system_message,,Attention crawlers. Quadrant C is now an active hunting ground. Enjoy.,,
1:32,chapter,,The Bronze Box Run,loot,
1:48,loot,actress,Understudy's Dagger,Silver Adventurer Box,
1:56,hp,harry,4,22,
2:04,rank,,party,61,
2:18,note,,The System declines to comment on the smell.,,
2:11,status,psychic,,Poisoned,
0:02:26,chapter,,The Hoarder,boss,
2:34,hp,harry,18,22,
2:43,level_up,xo,2,,
2:52,map_reveal,,"5,4;5,5;6,5",The Rot Market,
3:00,inventory,harry,Torch,Enchanted Crowbar,
3:10,rank,xo,crawler,4188,
3:19,sponsor,,Crawler life insurance from Ghaza Provisioners. Terms apply posthumously.,20,
3:30,achievement,actress,Scene Stealer,Held the room for a full minute.,
3:42,hp,psychic,14,18,
0:03:52,system_message,,"Floor One remains open. The System is, for now, entertained.",,
238.5,note,,Recap ends. Vitals logged. Sponsors paid.,,
